Farm Products;21;89.50B;3.48%;24.78;1.64%;0.13%;28.83%
Rental & Leasing Services;21;175.39B;1.02%;28.03;6.41%;1.25%;35.61%
Utilities - Renewable;21;95.15B;1.50%;-;-11.95%;0.94%;92.18%
REIT - Residential;21;179.38B;4.59%;25.97;26.76%;-1.16%;-10.26%
REIT - Office;21;55.29B;9.44%;-;-7.05%;-0.88%;-20.22%
Residential Construction;21;174.04B;0.12%;12.25;9.03%;0.13%;-0.05%
Waste Management;20;238.46B;0.64%;30.00;11.62%;-0.13%;0.06%
Travel Services;20;515.02B;0.74%;22.54;17.29%;3.15%;14.72%
Insurance - Life;19;321.74B;2.14%;12.88;9.77%;0.58%;18.46%
Consumer Electronics;19;4.03T;0.56%;32.16;22.97%;2.12%;12.02%
Banks - Diversified;19;3.76T;2.59%;15.11;26.68%;1.23%;45.70%
Oil & Gas Integrated;19;1.93T;5.73%;12.20;6.99%;-1.52%;23.16%
Airlines;18;194.77B;1.21%;14.60;4.68%;3.91%;29.48%
Chemicals;18;41.92B;2.10%;-;-8.50%;3.19%;-21.20%
Beverages - Non-Alcoholic;18;766.69B;1.84%;27.35;12.17%;0.49%;19.00%
REIT - Specialty;18;365.77B;3.36%;60.38;10.33%;-1.12%;-5.06%
Staffing & Employment Services;18;16.53B;3.64%;141.50;0.23%;0.76%;-28.23%
Resorts & Casinos;18;93.63B;2.52%;29.94;3.78%;2.19%;9.66%
Oil & Gas Refining & Marketing;18;215.78B;3.69%;51.47;0.72%;-0.43%;24.30%
Insurance - Specialty;17;75.10B;2.79%;13.98;12.87%;0.40%;-2.69%
Pollution & Treatment Controls;17;45.44B;0.40%;41.82;10.64%;1.80%;11.74%
Metal Fabrication;17;67.47B;0.54%;39.17;7.40%;-0.52%;65.27%
Recreational Vehicles;17;33.45B;2.17%;68.62;1.08%;0.81%;24.78%
REIT - Industrial;17;273.89B;4.78%;35.93;23.61%;-0.79%;-0.17%
REIT - Diversified;16;57.63B;6.35%;18.61;32.89%;-0.83%;2.85%
REIT - Healthcare Facilities;16;228.44B;4.22%;138.25;6.16%;-0.56%;31.93%
REIT - Hotel & Motel;16;32.93B;4.98%;67.38;2.10%;0.62%;-3.21%
Trucking;16;99.88B;0.54%;48.40;3.67%;5.92%;-2.80%
Utilities - Regulated Gas;16;102.40B;3.11%;22.03;10.44%;-0.05%;16.93%
Building Materials;16;216.94B;0.57%;26.19;10.20%;1.32%;24.13%
Real Estate - Development;15;13.82B;0.54%;24.11;6.11%;-0.20%;2.03%
Footwear & Accessories;15;141.79B;0.96%;33.52;5.93%;0.17%;-21.34%
Other Precious Metals & Mining;15;52.83B;0.27%;114.27;4.69%;-2.99%;236.85%
Financial Data & Stock Exchanges;15;667.57B;1.27%;30.42;30.66%;-0.24%;4.34%
Agricultural Inputs;14;119.84B;3.22%;22.42;6.78%;-0.57%;12.19%
Broadcasting;14;16.40B;3.47%;-;-0.21%;0.01%;13.62%
Personal Services;14;57.10B;1.01%;25.26;12.45%;-0.67%;9.86%
Gambling;13;64.53B;0.45%;105.86;1.91%;-0.15%;-23.35%
Food Distribution;13;82.46B;0.90%;29.77;1.17%;-0.25%;14.79%
Utilities - Regulated Water;13;65.30B;2.76%;18.18;21.11%;-0.70%;24.58%
Mortgage Finance;13;71.30B;2.11%;202.20;2.21%;4.27%;36.09%
Medical Distribution;12;236.54B;0.50%;39.17;0.62%;1.12%;47.41%
Lodging;12;220.47B;0.89%;34.41;22.82%;0.78%;12.16%
Railroads;12;443.28B;1.67%;21.22;22.84%;-0.69%;0.97%
Grocery Stores;11;61.35B;1.50%;31.18;0.75%;-0.48%;-8.86%
Uranium;11;86.87B;0.04%;-;-7.16%;-3.21%;147.08%
Beverages - Wineries & Distilleries;11;64.90B;3.31%;21.64;11.78%;-1.61%;-22.66%
Healthcare Plans;11;568.38B;1.93%;27.13;1.26%;-0.29%;-21.92%
Luxury Goods;11;36.91B;1.37%;-;-1.89%;1.24%;58.48%
Tobacco;11;519.45B;3.23%;26.20;19.98%;-0.23%;37.16%
Insurance - Diversified;10;1.22T;-;14.62;16.57%;0.64%;4.60%
Tools & Accessories;10;82.49B;1.39%;27.64;7.65%;1.10%;18.31%
Discount Stores;9;1.54T;0.85%;45.06;2.89%;2.91%;18.42%
Oil & Gas Drilling;9;24.78B;1.19%;-;-13.51%;0.41%;10.09%
Utilities - Independent Power Producers;9;220.49B;0.80%;37.57;7.46%;-2.22%;10.65%
Beverages - Brewers;8;268.42B;2.48%;37.50;4.54%;0.35%;33.56%
Utilities - Diversified;8;106.75B;4.01%;20.12;7.62%;-0.54%;11.57%
Electronics & Computer Distribution;8;30.74B;0.69%;16.83;1.40%;1.37%;7.34%
Airports & Air Services;8;45.41B;6.75%;200.65;2.93%;0.39%;38.02%
Publishing;8;23.73B;1.92%;23.27;7.38%;0.34%;12.95%
Insurance - Reinsurance;7;46.09B;1.51%;12.45;6.33%;0.62%;6.10%
Home Improvement Retail;7;533.26B;2.11%;24.70;8.39%;0.47%;-5.66%
Pharmaceutical Retailers;7;381.81M;-;-;-23.59%;0.45%;-20.45%
Coking Coal;6;10.75B;0.35%;-;-0.50%;-1.55%;58.74%
Thermal Coal;6;14.70B;2.12%;62.43;2.17%;-1.55%;28.52%
Lumber & Wood Production;6;21.94B;1.08%;37.56;2.78%;1.11%;-10.66%
Copper;6;261.25B;1.38%;37.09;16.60%;0.28%;107.71%
Financial Conglomerates;6;51.34B;1.03%;13.03;11.82%;-0.08%;29.82%
Business Equipment & Supplies;5;1.55B;4.62%;-;-10.44%;2.07%;-23.37%
Silver;5;16.77B;0.09%;-;-1.48%;-3.46%;223.26%
Paper & Paper Products;5;13.99B;2.74%;10.22;8.26%;-1.00%;-18.40%
Confectioners;5;118.33B;2.65%;23.86;9.94%;0.51%;11.91%
Aluminum;4;24.82B;1.34%;17.32;5.40%;2.86%;89.56%
Textile Manufacturing;4;1.75B;1.74%;-;-4.70%;2.05%;-30.73%
Department Stores;4;21.01B;4.74%;16.92;2.75%;4.19%;27.12%
Infrastructure Operations;2;1.03B;-;126.24;1.89%;-3.02%;-3.48%
Real Estate - Diversified;2;4.11B;0.65%;42.54;18.54%;1.16%;40.03%
